,title,author(s),summary,body
0,¿Por qué el dólar sube hoy en Colombia mientras cae en otros países de Latam,['Carolina Salazar Sierra'],"Hoy, la tasa de cambio pasó la barrera de los $5.000 por primera vez en la historia y tocó un máximo de $5.005 en el intradía","['De acuerdo con datos de Bloomberg, hoy el peso colombiano es la moneda que más cae frente al dólar en la región, mientras que otras, como el real brasileño, registra una subida de 0,69%.', 'Pero ¿a qué se debe que la moneda nacional pierda valor mientras que pares de la región suben?', 'Hoy, precisamente, la tasa de cambio pasó la barrera de los $5.000 por primera vez en la historia y tocó un máximo de $5.005 en el intradía.', 'Mientras que los analistas esperan que la Reserva Federal empiece a moderar su política monetaria, lo que llevó a la apreciación de monedas de la región hoy, en Colombia se estima que la subida de tasa por parte del Banco de la República el viernes pasado, cuando la llevó a 11%, no fue suficiente, teniendo en cuenta que en noviembre el Emisor no toma decisión de política monetaria y que aún hay presiones inflacionarias.', '""Parte de la depreciación del peso hoy puede estar reflejando que la subida de tasas del Banco de la República fue modesta frente al contexto de nerviosismo en los mercados"", indicó Julio Romero, economista jefe de Corficolombiana.', 'Diego Palencia, vicepresidente de investigaciones de Solidus Capital, explicó que el aumento de tasas de la Fed, además, causará un efecto directo en el canal de tasa de cambio, pues ""Con la subida de tasas de la Fed, el mercado de Estados Unidos se hace mucho más atractivo por rentabilidad versus riesgo. No hay nada más nervioso que US$1 millón de inversionistas"".', 'Romero también resaltó que el mercado sigue incorporando riesgos idiosincrásicos del país. Sobre todo porque, a pesar de los anuncios sobre sector de hidrocarburos, aún no se han tomado decisiones concretas ni se han presentado los estudios sobre la exploración.', 'Para Felipe Campos, gerente de inversiones e investigaciones de Alianza Valores y Fiduciaria, ""hay un elemento interno y es la expectativa de cuándo el Gobierno va a sacar los números y los cálculos acerca de la necesidad de la nueva exploración. Pero puntualmente, en los últimos dos días creemos que no es una noticia en general, sino que hay algunos agentes extranjeros que invierten en TES que están saliendo del país y, como el mercado es relativamente ilíquido, está presionando mucho al dólar"".', 'En cuanto al contexto local, en su informe más reciente sobre Colombia, JP Morgan sugiere que para frenar la pérdida de confianza tanto el gobierno del presidente Petro como del Banco Central, deben implementar diferentes estrategias, para evitar una mayor depreciación de la moneda.', 'Entre ellas, plantea a que los mensajes del gobierno, relacionados con la transición energética y la política fiscal, sean creíbles y convincentes, para brindar un alivio a los activos colombianos en 2023.', 'Además, asegura que el incremento de los tipos de interés por parte del Banco de la República deberá continuar con aumentos entre 100 y 150 puntos básicos, con el objetivo de llegar a final de año con una tasa de referencia de 12,50%.', 'Se plantea también recurrir a la Línea de Crédito Flexible del Fondo Monetario Internacional, con el fin de inyectar dólares al país y no tocar las reservas de moneda extranjera.']"
1,"Tras tocar $5.000, el dólar cerró a $4.975,75 en promedio, con aumento de $77",['Carolina Salazar Sierra'],"El barril de petróleo Brent, referencia para Colombia, subía 2,03% aUS$94,69; mientras que el WTI ascendía 2,13% a US$88,37","['Este martes, el dólar cerró a $4.975,75 en promedio, lo cual representó un aumento de $77,01 frente a la Tasa Representativa del Mercado (TRM), que para la jornada de hoy se ubicó en $4.898,74. Con esto, la cotización cerró por encima de la TRM máxima histórica de $4.968,94, que estuvo vigente el pasado 25 de octubre.', 'El máximo de la jornada llegó a $5.017 y el mínimo a $4.886,20. Se negociaron más de US$1.080 millones a través de 2.113 transacciones.', 'El movimiento se da luego de la decisión de tasas del Banco de la República y a la expectativa de la decisión de la Reserva Federal de Estados Unidos.', '""Parte de la depreciación del peso hoy puede estar reflejando que la subida de tasas del Banco de la República fue modesta frente al contexto de nerviosismo en los mercados"", indicó Julio Romero, economista jefe de Corficolombiana.', 'Diego Palencia, vicepresidente de investigaciones de Solidus Capital, explicó que el aumento de tasas de la Fed, además, causará un efecto directo en el canal de tasa de cambio, pues ""con la subida de tasas de la Fed, el mercado de Estados Unidos se hace mucho más atractivo por rentabilidad versus riesgo. No hay nada más nervioso que US$1 millón de inversionistas"".', 'Romero también resaltó que el mercado sigue incorporando riesgos idiosincrásicos del país. Sobre todo porque, a pesar de los anuncios sobre sector de hidrocarburos, aún no se han tomado decisiones concretas ni se han presentado los estudios sobre la exploración.', 'Los analistas consultados por LR aseguraron que es muy probable que, en la quinta alza consecutiva de tasas de interés, la Fed suba 75 puntos básicos en noviembre. Sin embargo, se prevé que la política monetaria de EE.UU. empiece a ser menos alcista.', '“El mercado estaba incorporando, con una probabilidad muy alta, que la Reserva Federal iba a subir 150 puntos básicos de aquí a final de año. Sin embargo, los datos recientes, como el Producto Interno Bruto (PIB) del tercer trimestre, y declaraciones de algunos miembros de la Fed, han llevado a que las expectativas estén un poco menos alcistas. Seguimos en el modo aumento de tasas en Estados Unidos, pero la magnitud es ahora un poco menos alta”, aseguró Julio César Romero, economista jefe de Corficolombiana.', 'La tasa de cambio en Colombia subió a pesar del movimiento del dólar global. El billete verde se desplomaba el martes desde máximos de una semana frente a una cesta de seis divisas, ya que los operadores sopesaban las probabilidades de que la Reserva Federal sea menos agresiva en la reunión de política monetaria del miércoles.', 'Los estrategas, incluido Marko Kolanovic de JPMorgan Chase & Co., creen que el aumento agresivo de la Fed está llegando a su fin, lo que brinda la perspectiva de un alivio para los mercados. Es probable que Estados Unidos aumente las tasas en 50 puntos básicos en diciembre y haga una pausa después de otro aumento de 25 puntos básicos en el primer trimestre, dijo a Bloomberg.', '“Si la Fed nos da alguna indicación de que hay luz al final del túnel, estamos muy cerca, si no es que ya hemos pasado el pico del dólar”, dijo Mark Matthews, jefe de investigación de Asia en Julius Baer en Bloomberg TV. “Entonces todas las monedas que han caído como el euro se recuperarán”.', 'El euro, la libra y el yen subieron el martes. Mientras tanto, el gobierno del Reino Unido dijo que es inevitable que todos los británicos, especialmente los más ricos, tengan que pagar más impuestos para restaurar la estabilidad de las finanzas públicas y el Banco de Inglaterra se convertirá en el primer banco central importante en vender los activos acumulados durante un Programa de estímulo de 13 años.', 'Los precios del petróleo subían el martes, recuperando las pérdidas de la sesión anterior, ya que el debilitamiento del dólar global compensaba las mayores restricciones por el covid-19 en China, que han avivado los temores de desaceleración de la demanda de combustible en el segundo mayor consumidor de petróleo del mundo.', 'El barril de petróleo Brent, referencia para Colombia, subía 2,03% aUS$94,69; mientras que el WTI ascendía 2,13% a US$88,37.', 'Los índices de referencia Brent y WTI terminaron octubre al alza, registrando sus primeras ganancias mensuales desde mayo, después de que la Organización de Países Exportadores de Petróleo y sus aliados, incluida Rusia, conocidos como Opep+, dijeron que recortarían la producción en dos millones de barriles diarios (bpd).', 'La Opep elevó el lunes sus previsiones sobre la demanda mundial de petróleo a mediano y largo plazo, afirmando que se necesitan US$12,1 billones de inversión para satisfacer esta demanda a pesar de la transición a las fuentes de energía renovables.', 'Estos factores alcistas han contrarrestado las preocupaciones sobre la demanda suscitadas por las restricciones por el covid-19 en China, el principal importador de crudo del mundo, que redujeron la actividad de las fábricas chinas en octubre y recortaron sus importaciones de Japón y Corea del Sur.', 'Para frenar aún más la subida de los precios, la producción de petróleo de Estados Unidos aumentó a casi 12 millones de bpd en agosto, la más alta desde el inicio de la pandemia de covid-19.']"
2,"Gastos hormiga han subido más de 23% este año, con aumento del precio del dólar",['Carolina Salazar Sierra'],"Con el dólar encima de $4.900, ahora son más costosas las plataformas de streaming y las suscripciones a medios internacionales","['El aumento del dólar se ve reflejado en los gastos hormiga, esos pequeños pagos que hace en bienes no esenciales, que, aunque no se de cuenta, impactan sus finanzas personales. Con el alza en el precio del dólar en Colombia, ahora estos gastos le cuestan 23% más que al inicio del año, cuando la Tasa Representativa del Mercado (TRM) estaba en $3.981,16.', 'Entre los productos que los colombianos han visto subir de precio están las suscripciones a medios internacionales. El costo de The New York Times, por ejemplo, es de US$1; mientras que una membresía de Washington Post está en US$4 mensual, con lo que su pago pasó de representar $15.924 el primero de enero de este año, a $19.594 con la TRM de hoy ($4.898,74).', 'Un comportamiento similar han registrado las plataformas de juegos en línea. Las mensualidades de Play Station Plus y Xbox Gold pasaron de costar $27.828 y $39.771, respectivamente, a $34.242 y $48.938.', 'La caída también se evidencia en servicios como Apple Music, por la que tenía que pagar una tarifa mensual de $39.771 al inicio del año y ahora aumentó a $48.938. Mientras que la mensualidad de herramientas como Kindle ahora cuesta $58.050.', 'Lo mismo sucede si quiere hacer compras en dólares en el exterior. Si, además, quiere utilizar un servicio de casillero, como el que ofrece Box TCC, el costo por libra iría desde $46.538, cuando el primero de enero era de $37.821.', 'Por lo anterior, los expertos recomiendan que cuide los pequeños gastos, pues estos podrían generar un gran impacto en sus finanzas personales, sobre todo teniendo en cuenta que viene la época de vacaciones, Navidad y Año Nuevo.', 'Hay gastos indexados a las tarjetas de crédito, como las plataformas de streaming. Todos los gastos internacionales hay que vigilarlos, porque pueden generar un sobrecosto”, dijo Alexander Ríos, experto financiero y fundador de Inverxia.']"
3,"El peso ha caído 7,7% en el último mes, la mayor baja entre los países emergentes",[],"La moneda se ha debilitado un 7,7% en el último mes, la mayor caída entre los principales mercados emergentes","[', en medio de la preocupación por la dirección de la política del Gobierno del presidente Gustavo Petro, ', 'El peso se depreció hasta un 1,4% el martes, hasta un mínimo intradía récord de $5.005 por dólar.', 'La mayoría de las economías en desarrollo han visto cómo sus monedas se han depreciado este año, debido a que el aumento de las tasas de interés en Estados Unidos ha disparado la demanda de dólares. El peso colombiano ha tenido una de los peores desempeños desde las elecciones en junio, en medio de la ', 'Las críticas de Petro a los aumentos de las tasas de interés del banco central y su intención de aplicar un impuesto a las salidas de capital han contribuido a la caída del peso y los bonos de la nación.', 'El ministro de Hacienda, José Antonio Ocampo, trató de tranquilizar a los inversionistas diciendo que no se están considerando controles de capital, y', '\nAun así', ' a pesar de que el país andino disfruta de una mejor calificación crediticia.', 'La caída del peso había provocado especulaciones similares entre algunos inversionistas de que el banco central de Colombia podría intervenir para frenar la venta, luego de intentos en Japón y Chile. Sin embargo, en la reunión de su junta la semana pasada, el banco no tomó esa medida.']"
4,Los resultados de Ecopetrol para el tercer trimestre de 2022 se conocerán el martes,['Juan Pablo Vargas Cuellar'],"Adicional a esto, la petrolera cuyo mayor accionista es el Estado colombiano, también comunicó que el miércoles 9 de noviembre la administración de la compañía ofrecerá dos conferencias telefónicas","['En un comunicado dirigido a la Superintendencia Financiera, Ecopetrol afirmó que una vez cerrado el mercado el 8 de noviembre, anunciará sus resultados financieros y operacionales para lo que fue el tercer trimestre de este año.', 'Adicional a esto, la petrolera cuyo mayor accionista es el Estado colombiano, también comunicó que el miércoles 9 de noviembre la administración de la compañía ofrecerá dos conferencias telefónicas, una en español y otra en inglés, para comentar los resultados obtenidos.', '\nEn el caso del ', ', en cabeza de Juan Pablo Espinosa, director de investigaciones económicas del Grupo, estima que si bien la producción podría crecer a más de 715.000 barriles de petróleo equivalente día (bped) -el trimestre pasado fue de 704.000 bped-, los ingresos, el Ebitda y las utilidades netas caerían.', 'Para el segundo trimestre del año estos rubros marcaron $43,9 billones, $22,2 billones y $10,5 billones respectivamente. Según Espinosa, para el tercer trimestre de 2022 estos montos podrían caer a alrededor de $43,2 billones en el caso de los ingresos, a $21 billones en el Ebitda y a $9,04 billones en el rubro de utilidades netas.', ""La razón de estas caídas serían en principio la disminución del precio del crudo en el ámbito internacional. Principalmente, por la 'tranquilidad' de los mercados superada una vez -al menos en una escalada menor- la guerra en Ucrania."", 'Adicional a esto, según Felipe Campos, gerente estrategia de inversión de Alianza Valores, en el primer semestre el precio promedio del brent fue de alrededor de US$105 por barril. Esto, mientras que para el tercer trimestre del año el precio cayó cerca de 10% y se ubicó en US$94 por barril.', 'En este sentido, Campos aseguró que posiblemente la petrolera estatal cierre la tercera parte del año con ingresos por $42,1 billones, es decir, $1,1 billones menos que los pronosticados por Grupo Bancolombia, y unas utilidades netas de $9,7 billones, las cuales, sorpresivamente, son mayores en más de $600.000 millones que la estimaciones dichas por Espinosa.', 'Causante de este fenómeno, agregó Campos, puede ser la TRM que en promedio para el primer semestre del año fue de $3.914, mientras que para el trimestre entre julio y septiembre fue de $4.374, lo que significó un aumento considerable de 12%.']"
5,Colombina autoriza a su filial española Fiesta adquisición de acciones en Guatemala,['Juliana Arenales'],Se decidió liberar de las reservas no gravadas un total de $24.329 millones y que la filial Fiesta Colombina adquiriera las acciones de Colombina S.A. en la filial Capsa de Guatemala,"['Este martes, el Grupo Empresarial Colombina autorizó el movimiento accionario entre sus filiales internacionales Capsa y Fiesta Colombina durante la Asamblea General de Accionistas.', 'Se tomó la decisión de aprobación de dividendo extraordinario, es decir, liberar  un total de $24.329 millones de las reservas no gravadas y, además, decretar un dividendo extraordinario de $62,7 por acción que se pague a una sola cuota en 20 de diciembre de 2022', 'El grupo informó que se aprobó la operación comercial entre compañías de la siguiente manera: la filial Fiesta Colombina, de España, adquirió las acciones de Colombina S.A. en la filial Compañía de Alimentos del Pacífico (Capsa), de Guatemala.', 'También se aclaró que el efecto de esta operación será neutro en los estados financieros de Colombina S.A. En este sentido, la decisión busca fortalecer las actividades industriales, luego de aclarar días atrás que ', '""Esta transacción tiene como objetivo fortalecer las actividades industriales, comerciales, administrativas y financieras que desarrollan tanto Capsa en Guatemala, como Fiesta Colombina en España, buscando optimizar las sinergias con el resto de los negocios del Grupo Empresarial Colombina"", dijo la empresa, presidida por César Caicedo, en un comunicado oficial.', 'Recientemente,', ' con domicilio en Alcalá de Henares, en España, para fortalecer su operación en ese país.', 'La nueva sociedad, inscrita dentro del Grupo Empresarial Colombina, tiene como objeto la fabricación y comercialización de caramelos y golosinas, como informó LR.']"
6,Por la ola invernal el presidente Gustavo Petro decreta situación de desastre nacional,['Cristina Estrada Rudas'],El director del Ungrd dijo que en los próximos días se conocerá cuánto es el presupuesto que MinHacieda transferirá al Fondo Nacional de Riesgo,"['Ante la crisis social que han ocasionado las fuertes lluvias este año y que a la fecha dejan un balance de 2.554 eventos en 32 departamentos y 754 municipios. Un total de 203 fallecidos, 281 heridos, 37 desaparecidos y 453.292 personas afectadas que conforman 136.407 familias, el Gobierno Nacional decretó la situación de desastre nacional.', 'D', 'e, por efecto de las crecientes en zonas urbanas y rurales, así como el desbordamiento de ríos, ordenaría la figura de “desastre natural” que permitiría redistribuir recursos de programas no ejecutados para emergencias naturales.', 'Hoy y en una trasmisión en donde Petro estuvo acompañado por el director de Unidad Nacional para la Gestión del Riesgo de Desastres (Ungrd), hizo oficial el anuncio y explicó además que estos niveles de lluvias son los mayores presentados en 40 años y que hay una probabilidad de 50% que esto se prolongue para el año entrante.', 'Allí el mandatario explicó que van a sumar una serie de partidas no ejecutadas en el presupuesto nacional en diferentes entidades. “El valor exacto se conocerá en la tarde y el dinero se invertirá en atender los problemas de hambre y de la emergencia”, dijo Petro.', 'El plan de ejecución que propone el Gobierno incluye cinco objetivos enfocados a atender las diferentes áreas afectadas por la emergencia de lluvias además de minimizar la situación de hambre. Las cinco medidas que están contempladas en la declaratoria de desastre son:', 'Un subsidio, transferencia a personas madres cabeza de familia y madres de hijos en la primera infancia. Cerca de 1.200.000 personas, con un monto de $500.000 por cabeza, por persona. El Presidente explicó que con este subsidio la persona supera la línea de pobreza automáticamente, y se atiende a la primera infancia en la parte más débil que es su nutrición.', 'Se cambió la forma de contratación. El Gobierno del Cambio podrá contratar directamente con organizaciones populares, como las Juntas de Acción Comunal (JAC) en un mapa específico, del hambre, contratos que intercambiarán dinero mensual para que estas entidades organicen comités del hambre, compuestos por mujeres, para dar, a través de ollas comunitarias, desayuno, almuerzo y comida a quienes necesiten alimentación en los barrios y veredas.', 'Se ampliará el Programa de Alimentación Escolar (PAE) para que cubra  100% de la población de niños, niñas y jóvenes, más allá del calendario escolar, y abarque parte de las vacaciones, hasta el 31 diciembre de este año.', 'Se transformará Industria Militar Colombiana (Indumil). Con su reconversión industrial se construirán puentes metálicos donde se han caído estas estructuras o se han perdido las carreteras por efecto de las inundaciones y deslizamientos, y donde ocurra este tipo de emergencias, durante los próximos meses y así garantizar la movilidad de los colombianos.', 'Y se instala un subsidio de 100% a los fertilizantes que se destinen a producción de alimentos en Colombia, incluido el café. El objetivo es contribuir a bajar los precios de la canasta básica familiar durante los próximos meses.', 'De otro lado, Javier Pava Sánchez, director de Ungrd, explicó que luego de revisar los informes de eventos, daños y pérdidas encontraron que existen las condiciones particulares para declarar la situación de desastre de carácter nacional.', '“Hoy la situación del país amerita que tomemos medidas urgentes y medidas en el corto plazo para la recuperación de las áreas afectadas. Pero mas allá de eso hay unas acciones de asistencia humanitaria inmediatas que deben arrancar porque la situación de desastres que hoy vive el país se puede prolongar por dos o hasta seis meses más, de tal manera las acciones van a estar centradas en tema de seguridad alimentaria, soberanía alimentaria y atención inmediata en el aspecto vial”, dijo Pava.', 'Agregando que una vez que la situación finalice arrancaran con la fase de recuperación temprana dirigida a la estabilización del campo y después de eso empezaran la fase de recuperación para el buen vivir.', 'En cuanto presupuesto, el director señalo que el ministerio de Hacienda dará los presupuestos que se pueden transferir al Fondo Nacional de Riesgo de Desastres y con estos presupuestos harán la redistribución de los recursos en cada una de las cuentas.', 'La última asignación de presupuesto del Fondo Interministerial fue de $20.000 millones para atender las acciones inmediatas que requiere la emergencia climática por la que está atravesando el país. Igualmente, el Ministerio de Hacienda aprobó el traslado presupuestal de $351.000 millones hacia el Fondo Nacional de Gestión del Riesgo para destinarlos a requerimientos de los municipios y departamentos afectados por la ola invernal. Pero dado que las cifras de incidentes siguen creciendo, el hecho de que llegue un desastre natural, o su eventual declaratoria, podría significar hasta $1 billón en recursos de emergencia.']"
7,Estos fueron los cambios principales de ponencia de la tributaria para nuevo debate,['Joaquín Mauricio López Bejarano'],El Gobierno las últimas tres semanas discutió con los congresistas ponentes y ahora se llegaría a un recaudo de casi $20 billones ,"['La madrugada con la que empezó este primero de noviembre llegó con la ponencia final de la reforma tributaria del Gobierno de Gustavo Petro. Precisamente el proyecto que se terminó de cocinar las últimas tres semanas entre el Ministerio de Hacienda y los congresistas ponentes es pensado para que se pueda votar entre este miércoles y jueves en las plenarias del Senado y Cámara.', 'Entonces ¿Cómo quedó la reforma tributaria?. Lo primero es que hay que recordar que en efecto, se eliminó cualquier tipo de impuesto a las pensiones. Así se dejarán de recaudar hasta $350.000 millones que habrían puesto los jubilados que recibían más de $12 millones al mes (1% de los retirados). Y con los demás ajustes a continuación mencionados, el recaudo ahora estaría entre $19 y $20 billones.', 'Colocarían hasta $9 billones de la tributaria. ', 'Los umbrales para el sector de extracción de petróleo crudo se definen de acuerdo con la distribución de los precios internacionales en términos reales, deflactados con el IPC de Estados Unidos, para los últimos 10 años, así:', '(El percentil a continuación quiere decir que cuando el precio esté por debajo del 30% del promedio de los últimos 10 años se cobra 0%. Cuando esté entre 30% y 45%, se cobra el 5% y así)', '• 0% de sobretasa: precio por debajo del percentil 30.', '• 5% de sobretasa: precio entre el percentil 30 y el 45.', '• 10% de sobretasa: precio entre el percentil 45 y el 60.', '• 15% de sobretasa: precio por encima del percentil 60.', 'Por su parte, los umbrales para el sector de extracción de carbón se definen de acuerdo con la distribución de los precios internacionales en términos reales, deflactados con el IPC de Estados Unidos, para los últimos 10 años, así:', '• 0% de sobretasa: precio por debajo del percentil 45.', '• 5% de sobretasa: precio entre el percentil 45 y el 60.', '• 10% de sobretasa: precio por encima del percentil 60', 'Igualmente con el tema de regalías: ', ', pero con modificaciones en la valoración de las regalías pagadas en especie por parte de las empresas.', '\nAunque el Ministerio de Hacienda ha dicho que los patrimonios que empezarán a pagar impuestos son los de más de $3.000 millones, según la fórmula del articulado, se indica que es a partir de los 72.000 UVT, es decir, $2.736 millones con la UVT actual ($38.004). Desde este punto de partida y hasta los $4.636 millones (122.000 UVT) pagarán una tarifa de 0,5%.', 'La segunda tarifa es para los patrimonios de entre $4.636 millones y hasta $9.082 millones, que tendrán una carga fiscal de 1%. Y en los últimos debates se incluyó un tercer nivel para los patrimonios de más de $9.082 millones que tendrán una tarifa marginal de 1,50%.', '\nEl acuerdo fue que la primera vez que se evada una obligación, se pagará normalmente. La segunda reincidencia incurrirá en multa y para la tercera pagará cárcel.', 'Una de las características de la reforma era que todos los ingresos se trataran por igual. Esto quería decir que los dividendos entrarían a la tabla de tarifas marginales de renta que van de 0% a 39%, según los ingresos. Pero el MinHacienda acordó con los ponentes que ya no harán parte de esta tabla, sino que tendrán un descuento de 19%, con una tasa máxima de 20% para mantener la progresividad.', 'De ese modo, el pequeño accionistas no pagaría impuestos adicionales sobre dividendos. Y el tope llegará solo hasta 20%, para los de altos ingresos.', 'Al igual que los dividendos, el MinHacienda proponía que las ganancias ocasionales también se trataran como ingresos ordinarios, pero luego reconoció que este es el único ingreso que no es igual al resto. Por eso modificó la propuesta para que mantenga su cédula independiente y, en cambio, tenga una tarifa única de 15% para el caso de herencias, donaciones y enajenaciones de activos (que pagan una tarifa actual de 10%) y de 35% para las rifas y loterías (paga 20% en la actualidad).', 'Incluso, el jefe de la cartera económica anunció que en este caso se mejorarán algunos beneficios como el de la venta de viviendas que estarán exentas del impuesto si el dinero obtenido se utiliza para comprar otra vivienda.', 'El Gobierno planteaba inicialmente eliminar el subsidio a la gasolina que tienen las poblaciones de las zonas de frontera. Estas regiones están excluidas de pagar el IVA en el combustible, además de otras exenciones como aranceles y el impuesto nacional a la gasolina y el Acpm. Pero el MinHacienda rectificó y mantuvo estos beneficios para esas poblaciones.']"
8,Los bancos que logren entrar en la cotidianidad de las personas liderarán el mercado,[],Ofrecer servicios de banca en línea ya no es un valor adicional: es un mínimo,"['Cinco años atrás, ofrecer servicios de banca 100% digital en Colombia era considerado una propuesta de valor diferenciada, que generaba eficiencias a la entidad. Esos días quedaron atrás. Según Colombia Fintech, los neobancos y billeteras digitales han alcanzado, en conjunto, más de 25 millones de usuarios en Colombia. Esto sin contar con las plataformas digitales de las entidades financieras tradicionales, que suman otro tanto. Por iuvity pasan 81% del total de transacciones de canales digitales de las instituciones financieras en Colombia.', 'Ofrecer servicios de banca en línea ya no es un valor adicional: es un mínimo. Lo que ayer fue accesorio, hoy se convierte en necesidad y en un asunto de supervivencia para la entidad financiera tradicional.', 'Ahora bien, durante el último año y medio, el país se ha visto nutrido con nuevos jugadores de otras geografías, que encontraron un mercado local altamente eficiente e hipercompetitivo ¿Qué deberían hacer estos nuevos actores, así como algunas marcas locales rezagadas, para ganar espacio en esta nueva era? ¿Cómo generar valor más allá de la oferta digital y las tarjetas de crédito?', 'La penetración de la banca digital ha sido amplia, pero necesita ganar en profundidad. La mayoría de billeteras virtuales, neobancos y plataformas tienen un core de servicios básico y aún no han aprovechado todo el potencial de la banca abierta, en dónde está el verdadero futuro del mundo financiero. En los próximos años, el open banking generará un flujo de US$416.000 millones en el mundo, durante los próximos años, según Accenture. Las bancas que no profundicen en su apertura y que no se expongan en servicios de terceros pueden desaparecer o perder relevancia en el camino.', 'Para explicar esta idea a profundidad, es importante un símil con la industria del cine: hasta la llegada de la web, los estudios cinematográficos producían películas que se distribuían a través de los teatros de cine y el cable. Hoy, dichas compañías siguen produciendo contenido, pero se han transformado para poder emitirlo en nuevas plataformas como Netflix o Amazon Prime Video, llegando así a usuarios que no iban a cine. A su vez, los servicios de streaming por suscripción producen sus propias series, documentales y películas.', 'En ese sentido, la banca aún tiene mucho por recorrer. Las entidades financieras tradicionales siguen siendo las mejores creadoras y desarrolladoras de productos financieros, pero aún usan sus propias plataformas como canal principal de distribución.', 'Ahora, como ha ocurrido en otras industrias, y como lo está demandando el mercado, es el banco quien se tiene que hacer disponible en la cotidianidad del cliente. En la era en la que grandes marcas como Apple y Amazon e incluso la colombiana Rappi ofrecen productos financieros, el banco debe salir de sus sucursales físicas y virtuales y debe estar en capacidad de integrarse en plataformas de consumo masivo. De eso depende su vigencia en el futuro.', 'La oportunidad es enorme y Colombia ya cuenta con un decreto y un mercado que juegan a favor de nuevos cambios. La alianza entre la banca y plataformas que congreguen a un número masivo de usuarios podría significar una nueva era de inclusión financiera y de más oportunidades de financiación para los colombianos. Como siempre, lo que hoy es oportunidad e innovación, mañana será la regla. La suerte favorecerá a los pioneros.', 'Lograr estas transformaciones no es un problema de tecnología. La tecnología requerida es amplia y diversa, pero está ya disponible. En iuvity hemos desarrollado iuviOPEN, un producto de open banking que le permite a los bancos distribuir sus productos usando APIs a través de canales nuevos. iuviOPEN funciona como una capa que interactúa con la infraestructura tecnológica del banco sin alterarla, y le permite actuar como un banco abierto de cara a las aplicaciones externas en las que ofrecerá sus productos. Para volver al símil cinematográfico, iuviOPEN es la plataforma que le permite llevar la película de la cinta a la plataforma de streaming donde nuevas audiencias la disfrutarán.', 'El gran reto, entonces, radica en el mindset o el abordaje de quienes lideran y son responsables por estos asuntos en las entidades financieras ¿Quién se atreverá a abrir la banca primero? ¿Serán los jugadores locales? ¿Serán los nuevos retadores que han llegado a buscar su parte de un mercado cada vez más competido? Los que hace seis años se arriesgaron a tener una banca 100% digital, hoy cosechan los resultados. Asímismo, quienes disfruten del mercado futuro serán los que permitan que su banca salga de la sucursal y empiece a ofrecer servicios en aplicaciones de consumo masivo.']"
9,Así quedó la fórmula de los impuestos a la minería y el petróleo en nueva ponencia,['Brayan Xavier Becerra'],"La principal modificación es que se tomará el precio promedio de los últimos 10 años y no de los últimos 20, como se había mencionado","['Anoche fue radicada finalmente la ponencia para segundo y último debate de la reforma tributaria que ahora busca recaudar', ' y ya no $25 billones como estimaba inicialmente. Los impuestos a los hidrocarburos serán la principal fuente de estos recursos, ya que aportarán la mitad de la tributaria.', 'Finalment', ' del impuesto de renta, pero con modificaciones en la valoración de las ', ' en especie por parte de las empresas.', 'Se precisó que el monto no deducible correspondiente a las regalías pagadas en especie corresponderá al costo total de producción de los recursos pagados como regalía, fijando las fórmulas necesarias para realizar el respectivo cálculo.', 'El articulado también define la fórmula que aplicará para las sobretasas de renta que se definieron ', ' y que dependerán de los precios internacionales. La sobretasa', '.', 'Estos umbrales tanto para el carbón como para el petróleo se definirán de acuerdo con la distribución de los precios internacionales en términos reales, deflactados con el IPC de Estados Unidos.', 'El cambio principal que se dio en este aspecto en las últimas reuniones entre congresistas ponentes y el Ministerio de Hacienda fue que ya no se contabilizará el precio promedio de los últimos 20 años, ', 'En el caso del petróleo, cuando precio en los mercados internacionales', '. Pero cuando esté ', ' del precio promedio,', ', por lo que las petroleras pagarán en total una ', 'Cuando el precio ', ', ', ', para una tarifa de ', ' y cuando', ' del precio promedio de los últimos 10 años, las petroleras tendrán ', ', para llegar a ', '.', 'Por su parte, en el caso del carbón la fórmula será la siguiente: cuando los precio internacionales estén por ', ' del precio promedio de los 10 años anteriores, ', ' de renta. ', '. Y cuando el precio del carbón esté ', ' de ese promedio, ', '.']"
